index,level_0,country,year,coal_electricity,coal_electricity_log
0,0,Argentina,1985,0.607,-0.4992264879226388
1,1,Argentina,1986,1.013,0.01291622526654623
2,2,Argentina,1987,1.016,0.015873349156290163
3,3,Argentina,1988,1.586,0.4612151232126563
4,4,Argentina,1989,0.865,-0.14502577205025774
5,5,Argentina,1990,0.66,-0.4155154439616658
6,6,Argentina,1991,0.926,-0.07688104433595762
7,7,Argentina,1992,0.834,-0.18152187662339034
8,8,Argentina,1993,1.18,0.16551443847757333
9,9,Argentina,1994,2.348,0.85356390196585
10,10,Argentina,1995,1.908,0.6460555730260947
11,11,Argentina,1996,1.917,0.6507614640635074
12,12,Argentina,1997,1.896,0.63974640383283
13,13,Argentina,1998,1.808,0.5922212619699848
14,14,Argentina,1999,2.106,0.7447904137117837
15,15,Argentina,2000,1.67,0.5128236264286637
16,16,Argentina,2001,1.27,0.23901690047049992
17,17,Argentina,2002,0.76,-0.2744368457017603
18,18,Argentina,2003,0.88,-0.12783337150988489
19,19,Argentina,2004,1.58,0.4574248470388755
20,20,Argentina,2005,2.05,0.7178397931503168
21,21,Argentina,2006,1.96,0.6729444732424258
22,22,Argentina,2007,2.31,0.8372475245337022
23,23,Argentina,2008,1.81,0.5933268452777344
24,24,Argentina,2009,1.66,0.5068176023684519
25,25,Argentina,2010,2.82,1.0367368849500223
26,26,Argentina,2011,2.72,1.000631880307906
27,27,Argentina,2012,2.46,0.9001613499442714
28,28,Argentina,2013,2.21,0.7929925155296614
29,29,Argentina,2014,2.38,0.8671004876833833
30,30,Argentina,2015,2.23,0.8020015854720274
31,31,Argentina,2016,1.81,0.5933268452777344
32,32,Argentina,2017,1.89,0.636576829071551
33,33,Argentina,2018,1.91,0.6471032420585384
34,34,Argentina,2019,1.1,0.09531017980432493
35,35,Argentina,2020,1.54,0.43178241642553783
36,36,Argentina,2021,2.23,0.8020015854720274
37,37,Argentina,2022,2.14,0.7608058290337602
38,38,Australia,1985,89.374,4.492829812140387
39,39,Australia,1986,92.587,4.52814874302781
40,40,Australia,1987,100.348,4.608644144799592
41,41,Australia,1988,105.998,4.663420226009538
42,42,Australia,1989,113.56,4.732331331604771
43,43,Australia,1990,123.363,4.8151312285854635
44,44,Australia,1991,127.222,4.8459335919257045
45,45,Australia,1992,130.002,4.867549834952625
46,46,Australia,1993,133.277,4.8924296691616
47,47,Australia,1994,136.894,4.91920690372255
48,48,Australia,1995,141.935,4.9553692063244865
49,49,Australia,1996,148.431,5.000120203796489
50,50,Australia,1997,157.474,5.05926036527351
51,51,Australia,1998,165.946,5.111662434229809
52,52,Australia,1999,171.161,5.142604634018111
53,53,Australia,2000,180.26,5.194400253128264
54,54,Australia,2001,179.88,5.192289961902507
55,55,Australia,2002,171.86,5.146680191885077
56,56,Australia,2003,173.61,5.156811404253857
57,57,Australia,2004,178.96,5.187162317181874
58,58,Australia,2005,182.98,5.209376857251389
59,59,Australia,2006,185.76,5.224455517949582
60,60,Australia,2007,185.49,5.223000972238587
61,61,Australia,2008,184.24,5.21623925551243
62,62,Australia,2009,182.02,5.20411657114921
63,63,Australia,2010,176.02,5.170597624945666
64,64,Australia,2011,171.98,5.14737819098275
65,65,Australia,2012,165.38,5.108245856294021
66,66,Australia,2013,155.45,5.046324136504762
67,67,Australia,2014,155.23,5.0449078880383516
68,68,Australia,2015,162.2,5.088830141681313
69,69,Australia,2016,162.36,5.089816091970697
70,70,Australia,2017,159.17,5.069972813441763
71,71,Australia,2018,156.56,5.0534393230878205
72,72,Australia,2019,149.84,5.009568058135833
73,73,Australia,2020,142.93,4.962354999921024
74,74,Australia,2021,137.4,4.922896379788249
75,75,Australia,2022,130.93,4.874662829239662
76,76,Austria,1990,6.19,1.8229350866965048
77,77,Austria,1991,6.84,1.922787731634459
78,78,Austria,1992,4.11,1.4134230285081433
79,79,Austria,1993,2.98,1.091923300517313
80,80,Austria,1994,3.1,1.1314021114911006
81,81,Austria,1995,4.32,1.463255402256019
82,82,Austria,1996,5.28,1.6639260977181702
83,83,Austria,1997,5.83,1.763017000362401
84,84,Austria,1998,4.13,1.4182774069729414
85,85,Austria,1999,4.42,1.4861396960896067
86,86,Austria,2000,5.72,1.7439688053917064
87,87,Austria,2001,6.89,1.9300710850255671
88,88,Austria,2002,6.61,1.888583653863595
89,89,Austria,2003,8.44,2.1329823086078656
90,90,Austria,2004,7.91,2.0681277817795625
91,91,Austria,2005,7.17,1.969905654611529
92,92,Austria,2006,7.37,1.9974177062012453
93,93,Austria,2007,6.6,1.8870696490323797
94,94,Austria,2008,5.53,1.7101878155342434
95,95,Austria,2009,3.76,1.324418957401803
96,96,Austria,2010,4.92,1.5933085305042167
97,97,Austria,2011,5.43,1.691939133945844
98,98,Austria,2012,4.39,1.47932922708708
99,99,Austria,2013,4.21,1.43746264769429
100,100,Austria,2014,2.94,1.0784095813505903
101,101,Austria,2015,2.95,1.0818051703517284
102,102,Austria,2016,2.04,0.712949807856125
103,103,Austria,2017,1.76,0.5653138090500605
104,104,Austria,2018,1.81,0.5933268452777344
105,105,Austria,2019,1.5,0.4054651081081644
106,106,Austria,2020,0.56,-0.579818495252942
107,107,Austria,2021,0.14,-1.9661128563728327
108,108,Austria,2022,0.14,-1.9661128563728327
109,109,Bangladesh,2000,0.0,-5.0
110,110,Bangladesh,2001,0.0,-5.0
111,111,Bangladesh,2002,0.0,-5.0
112,112,Bangladesh,2003,0.0,-5.0
113,113,Bangladesh,2004,0.0,-5.0
114,114,Bangladesh,2005,0.0,-5.0
115,115,Bangladesh,2006,1.08,0.0769610411361284
116,116,Bangladesh,2007,1.07,0.06765864847381486
117,117,Bangladesh,2008,0.96,-0.040821994520255166
118,118,Bangladesh,2009,0.82,-0.19845093872383832
119,119,Bangladesh,2010,0.73,-0.31471074483970024
120,120,Bangladesh,2011,0.81,-0.21072103131565253
121,121,Bangladesh,2012,1.01,0.009950330853168092
122,122,Bangladesh,2013,1.14,0.131028262406404
123,123,Bangladesh,2014,1.08,0.0769610411361284
124,124,Bangladesh,2015,0.95,-0.05129329438755058
125,125,Bangladesh,2016,1.01,0.009950330853168092
126,126,Bangladesh,2017,1.41,0.34358970439007686
127,127,Bangladesh,2018,1.48,0.3920420877760237
128,128,Bangladesh,2019,2.17,0.7747271675523681
129,129,Bangladesh,2020,3.71,1.3110318766193438
130,130,Bangladesh,2021,4.77,1.5623463049002497
131,131,Bangladesh,2022,7.41,2.0028304393079956
132,132,Belarus,2000,0.0,-5.0
133,133,Belarus,2001,0.0,-5.0
134,134,Belarus,2002,0.0,-5.0
135,135,Belarus,2003,0.0,-5.0
136,136,Belarus,2004,0.0,-5.0
137,137,Belarus,2005,0.0,-5.0
138,138,Belarus,2006,0.0,-5.0
139,139,Belarus,2007,0.01,-4.605170185988091
140,140,Belarus,2008,0.01,-4.605170185988091
141,141,Belarus,2009,0.01,-4.605170185988091
142,142,Belarus,2010,0.03,-3.506557897319982
143,143,Belarus,2011,0.02,-3.912023005428146
144,144,Belarus,2012,0.02,-3.912023005428146
145,145,Belarus,2013,0.02,-3.912023005428146
146,146,Belarus,2014,0.02,-3.912023005428146
147,147,Belarus,2015,0.04,-3.2188758248682006
148,148,Belarus,2016,0.03,-3.506557897319982
149,149,Belarus,2017,0.03,-3.506557897319982
150,150,Belarus,2018,0.02,-3.912023005428146
151,151,Belarus,2019,0.03,-3.506557897319982
152,152,Belarus,2020,0.03,-3.506557897319982
153,153,Belarus,2021,0.03,-3.506557897319982
154,154,Belgium,1990,17.09,2.8384934971274993
155,155,Belgium,1991,16.51,2.8039662579320366
156,156,Belgium,1992,16.01,2.7732135270086236
157,157,Belgium,1993,16.3,2.791165107812717
158,158,Belgium,1994,16.98,2.8320361808832013
159,159,Belgium,1995,16.52,2.804571768092832
160,160,Belgium,1996,15.55,2.744060638625243
161,161,Belgium,1997,13.75,2.6210388241125804
162,162,Belgium,1998,14.19,2.6525374911719513
163,163,Belgium,1999,9.94,2.2965670206684825
164,164,Belgium,2000,12.92,2.558776498354456
165,165,Belgium,2001,9.94,2.2965670206684825
166,166,Belgium,2002,10.03,2.305580601973844
167,167,Belgium,2003,9.64,2.265921108622454
168,168,Belgium,2004,9.15,2.21375387928743
169,169,Belgium,2005,8.2,2.1041341542702074
170,170,Belgium,2006,6.85,1.9242486522741338
171,171,Belgium,2007,6.47,1.8671761085128091
172,172,Belgium,2008,5.55,1.713797927758343
173,173,Belgium,2009,5.18,1.6448050562713916
174,174,Belgium,2010,4.2,1.4350845252893227
175,175,Belgium,2011,3.48,1.247032293786383
176,176,Belgium,2012,3.39,1.220829921392359
177,177,Belgium,2013,3.01,1.1019400787607843
178,178,Belgium,2014,2.09,0.7371640659767196
179,179,Belgium,2015,2.07,0.7275486072772777
180,180,Belgium,2016,0.39,-0.941608539858445
